ny, 40.0, -73.0
santa's house, 83.0, -35.0
san jacinto, 34.0, -116.0
ellicott city, 39.0, -76.0
bradenton, 27.0, -82.0
philly, 39.952778, -75.163611
philadelphia, 39.952778, -75.163611
pasadena, 34.0, -118.0
henagar, 34.0, -85.0
oslo, 60.0, 11.0
kiev, 50.0, 30.0
st. louis, 38.0, -90.0
denver, 39.0, -104.0
houston, 29.0, -95.0
trondheim, 63.0, 10.0
Kiev, 50, 30
